Column1,PLAYER,EFF,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,LANE_AGILITY_TIME_x,SHUTTLE_RUN_x,THREE_QUARTER_SPRINT_x,STANDING_VERTICAL_LEAP_x,MAX_VERTICAL_LEAP_x,MAX_BENCH_PRESS_x,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,LANE_AGILITY_TIME_y,SHUTTLE_RUN_y,THREE_QUARTER_SPRINT_y,STANDING_VERTICAL_LEAP_y,MAX_VERTICAL_LEAP_y,MAX_BENCH_PRESS_y
18,Jeremiah Robinson-Earl,9.8,0.401,0.333,0.714,23,7.1,5.8,1,1.4,0.066,-2.5,-0.1,2021,11.64,3.15,3.29,27,32,-,0.09,9,9.75,6'7.75'',6'9.0'',8'9.5'',242.4,6'9.75'',11.64,3.15,3.29,27,32,-
19,Isaiah Jackson,8.8,0.602,0.333,0.653,11.5,6.9,3.2,0.3,1,0.168,0,0.1,2021,-,-,-,-,-,-,-%,-,-,,,,-,,-,-,-,-,-,-
20,Aaron Wiggins,8.2,0.467,0.301,0.706,22.3,7,3.4,1,1.2,0.07,-3.2,-0.2,2021,11.2,3,3.04,29.5,36,-,0.05,8.75,8.5,6'4.5'',6'5.0'',8'7.0'',190,6'9.75'',11.2,3,3.04,29.5,36,-
21,Corey Kispert,7.2,0.429,0.321,0.87,20.6,6.9,2.6,1.1,1.3,0.055,-2.6,-0.2,2021,10.91,2.99,3.12,30,37.5,-,0.07,8.75,10,6'6.0'',6'7.25'',8'6.0'',223.8,6'7.0'',10.91,2.99,3.12,30,37.5,-
22,Josh Christopher,6.8,0.435,0.305,0.779,16.5,7,2.2,1.8,0.1,0.007,-3.5,-0.3,2021,11.32,3.3,3.14,29.5,37.5,-,0.06,8.75,8.5,6'3.25'',6'4.5'',8'5.0'',214.8,6'9.25'',11.32,3.3,3.14,29.5,37.5,-
23,Brandon Boston Jr.,5.7,0.373,0.306,0.852,14.7,6.6,2.3,0.9,0.3,0.024,-3.4,-0.2,2021,-,-,-,-,-,-,0.06,9,9.75,6'5.75'',6'7.0'',8'8.0'',188,6'10.75'',-,-,-,-,-,-
24,Quentin Grimes,6.3,0.421,0.398,0.647,17.4,6.3,1.9,1,1.3,0.089,-0.1,0.3,2021,10.83,3.28,3.2,27.5,36,6,0.07,8.5,10,6'4.0'',6'5.25'',8'5.0'',205,6'8.0'',10.83,3.28,3.2,27.5,36,6
32,Kessler Edwards,7.5,0.398,0.347,0.833,23.4,6.3,4.1,0.7,0.2,0.014,-4.7,-0.5,2021,11.3,3.38,3.25,28,37,-,0.04,8.5,8.25,6'7.0'',6'8.0'',8'10.0'',203,6'11.25'',11.3,3.38,3.25,28,37,-
33,Day'Ron Sharpe,9.1,0.577,0.286,0.585,12.2,6.2,5,0.5,1.2,0.152,-2.9,-0.1,2021,-,-,-,-,-,-,-%,-,-,,,,-,,-,-,-,-,-,-
34,Austin Reaves,7.5,,,,,,,,,,,,,10.94,3.19,3.07,25,35,-,0.11,8,8.25,6'4.5'',6'5.75'',8'5.0'',197.2,6'6.25'',10.94,3.19,3.07,25,35,-
35,Omer Yurtseven,10,,,,,,,,,,,,,12.85,3.3,3.45,26,31.5,6,0.08,9,10.5,6' 10.5'',6' 11.75'',9' 0.5'',248.4,7' 1'',12.85,3.3,3.45,26,31.5,6
36,Luka Garza,5.7,0.444,0.341,0.643,11.7,5.2,3,0.6,0.5,0.076,-3.3,-0.1,2021,11.9,3.38,3.51,24,29.5,-,0.12,9,9.25,6'10.0'',6'11.25'',8'11.5'',242.8,7'1.5'',11.9,3.38,3.51,24,29.5,-
37,James Bouknight,4.1,0.353,0.347,0.871,10.6,5,1.7,0.8,0.1,0.016,-6.7,-0.4,2021,-,-,-,-,-,-,0.06,8.75,9,6'3.5'',6'4.75'',8'5.5'',190,6'8.25'',-,-,-,-,-,-
38,Jose Alvarado,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Trendon Watford,7.6,,,,,,,,,,,,,11.69,3.23,3.27,28,35,-,0.1,9.5,9.5,6'7.5'',6'8.75'',8'9.0'',237.4,7'2.25'',11.69,3.23,3.27,28,35,-
40,Joshua Primo,4.9,0.369,0.333,0.75,15.8,4.8,1.8,1.4,0.1,0.012,-4.2,-0.3,2021,10.97,3.36,3.22,30.5,37.5,-,0.06,9,10,6'4.0'',6'5.0'',8'6.5'',189,6'9.25'',10.97,3.36,3.22,30.5,37.5,-
41,Jock Landale,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Trey Murphy III,4,0.342,0.349,0.857,12,3.8,2,0.5,0.7,0.063,-2.8,-0.1,2021,11.65,3.32,3.14,34,38,-,0.08,8.5,9,6'7.5'',6'9.25'',8'9.5'',206,7'0.0'',11.65,3.32,3.14,34,38,-
43,Moses Moody,3.5,0.407,0.338,0.783,10.1,3.7,1.4,0.4,0.7,0.089,-3.5,-0.1,2021,-,-,-,-,-,-,0.07,9,10,6'4.5'',6'6.0'',8'9.0'',210.6,7'0.75'',-,-,-,-,-,-
44,Greg Brown III,4.5,0.438,0.192,0.649,9.2,3.6,2.2,0.3,0.3,0.057,-3.3,-0.1,2021,10.98,2.98,3.19,33.5,39,-,0.06,9,9.75,6'7.25'',6'8.5'',8'11.0'',206.4,7'0.25'',10.98,2.98,3.19,33.5,39,-
45,Dalano Banton,4.5,0.409,0.255,0.629,11.6,3.5,2.1,1.6,0.1,0.012,-3.7,-0.3,2021,,,,,,,,,,,,,,,,,,,,
46,Santi Aldama,3.7,0.381,0.103,0.6,10.3,3.3,2.4,0.5,0.1,0.025,-6.7,-0.3,2021,,,,,,,,,,,,,,,,,,,,
47,Jared Butler,2.9,0.409,0.362,0.583,7.6,3.4,0.8,1.2,0.2,0.037,-1.9,0,2021,-,-,-,-,-,-,0.05,8.5,8.25,6'2.25'',6'3.75'',8'2.5'',193,6'4.0'',-,-,-,-,-,-
48,Charles Bassey,5.7,0.638,0,0.75,7.3,3,2.7,0.3,0.8,0.227,1.9,0.2,2021,12.65,3.27,3.53,29,33,7,0.06,9,9.5,6'9.25'',6'10.25'',8'11.5'',230.2,7'3.0'',12.65,3.27,3.53,29,33,7
56,Sandro Mamukelashvili,3.9,0.459,0.385,0.75,9.3,3,1.8,0.5,0.7,0.111,-0.8,0.1,2021,11.63,3.3,3.21,30.5,36.5,-,0.08,9,9.5,6'9.0'',6'10.0'',8'10.5'',239.8,7'1.25'',11.63,3.3,3.21,30.5,36.5,-
57,JT Thor,4.1,0.442,0.269,0.714,10,2.7,1.6,0.8,0.4,0.081,-2.2,0,2021,12.19,3.08,3.06,31.5,35,-,0.06,9.25,9.5,6'8.5'',6'9.25'',9'2.0'',203,7'3.25'',12.19,3.08,3.06,31.5,35,-
58,Justin Champagnie,3.7,,,,,,,,,,,,,11.94,3.14,3.34,27,35,-,0.06,8.75,8.5,6'5.75'',6'6.75'',8'8.0'',206.4,6'9.5'',11.94,3.14,3.34,27,35,-
59,Ish Wainright,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Miles McBride,1.8,0.267,0.182,0.75,6.7,1.8,0.7,1,-0.1,-0.02,-5.4,-0.1,2021,11.08,3.13,3.1,31,38.5,-,0.06,9,9.5,6'1.0'',6'2.5'',8'3.5'',195.2,6'8.75'',11.08,3.13,3.1,31,38.5,-
61,Leandro Bolmaro,1.9,0.281,0.167,0.889,7.5,1.1,1.4,0.4,-0.1,-0.021,-6.7,-0.2,2020,,,,,,,,,,,,,,,,,,,,
62,Anthony Edwards,15.7,0.424,0.337,0.772,33.2,20.2,4.7,3.3,3.7,0.042,-0.8,1.3,2020,,,,,,,,,,,,,,,,,,,,
63,LaMelo Ball,18.7,0.425,0.362,0.814,30.6,17.8,6.4,6.8,6.9,0.101,2.4,3.7,2020,,,,,,,,,,,,,,,,,,,,
64,Tyrese Haliburton,15.7,0.468,0.413,0.839,32.6,14,3.5,6.5,8.8,0.111,2.2,4,2020,,,,,,,,,,,,,,,,,,,,
65,Cole Anthony,12.9,0.395,0.333,0.847,30.1,15.2,5.2,5,1.2,0.02,-2.1,-0.1,2020,,,,,,,,,,,,,,,,,,,,
66,Saddiq Bey,12,0.398,0.361,0.838,30.3,14,5.2,2,6,0.071,-0.5,1.5,2020,,,,,,,,,,,,,,,,,,,,
67,James Wiseman,12.3,0.519,0.316,0.628,21.4,11.5,5.8,0.7,0.7,0.042,-5,-0.6,2020,,,,,,,,,,,,,,,,,,,,
68,Immanuel Quickley,9.5,0.384,0.36,0.903,20.3,10.5,2.2,2.4,4.8,0.093,-0.7,0.8,2020,11.21,2.46,3.17,29.5,35.5,-,0.08,8,8.75,6'2.00'',6'3.00'',8'3.00'',185.8,6'8.25'',11.21,2.46,3.17,29.5,35.5,-
69,Jae'Sean Tate,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Theo Maledon,9.2,,,,,,,,,,,,,-,-,-,-,-,-,0.03,8.5,10,6'4.00'',6'5.00'',8'4.50'',187.4,6'8.75'',-,-,-,-,-,-
71,Isaac Okoro,9.1,0.435,0.301,0.741,31,9.3,3.1,1.9,3.8,0.051,-3.9,-1.7,2020,,,,,,,,,,,,,,,,,,,,
72,Kenyon Martin Jr.,12.5,0.519,0.357,0.676,21.7,9,4.5,1.2,4.4,0.093,-1.3,0.4,2020,11.93,2.58,3.16,31.5,38.5,-,0.06,8.5,8.75,6'6.00'',6'7.00'',8'6.00'',213.2,6'7.25'',11.93,2.58,3.16,31.5,38.5,-
73,Patrick Williams,11.1,0.486,0.396,0.736,27.7,9.1,4.4,1.3,2.7,0.061,-2.4,-0.2,2020,,,,,,,,,,,,,,,,,,,,
74,Desmond Bane,10,0.457,0.419,0.878,26,13.1,3.7,2.1,7.8,0.113,0.5,2.1,2020,,,,,,,,,,,,,,,,,,,,
75,Aleksej Pokusevski,8,0.365,0.28,0.689,20.6,7,4.6,1.7,-1.8,-0.045,-4.8,-1.3,2020,,,,,,,,,,,,,,,,,,,,
76,Tyrese Maxey,7.7,0.472,0.371,0.87,24.8,12.4,2.6,3.2,7.3,0.123,0,1.4,2020,,,,,,,,,,,,,,,,,,,,
77,Isaiah Stewart,13.2,0.535,0.284,0.691,23.5,8.1,7.5,1,6.4,0.106,-2.3,-0.2,2020,-,-,-,-,-,-,0.08,9,10.5,6'7.25'',6'8.50'',9'0.50'',243,7'4.75'',-,-,-,-,-,-
78,Chuma Okeke,10.3,0.399,0.328,0.802,24.5,8.1,4.4,1.9,3.1,0.062,-0.4,0.9,2019,-,-,-,-,-,-,-%,-,-,,,,-,,-,-,-,-,-,-
79,Payton Pritchard,8.2,0.424,0.396,0.915,16.4,6.6,2.1,1.8,3.9,0.095,-0.8,0.6,2020,,,,,,,,,,,,,,,,,,,,
80,Naji Marshall,10.3,,,,,,,,,,,,,11.77,2.9,3.37,28.5,35,-,0.09,9.25,10.5,6'5.75'',6'7.00'',8'6.50'',233.5,7'0.75'',11.77,2.9,3.37,28.5,35,-
81,Malachi Flynn,8.2,0.381,0.318,0.76,15.9,5.9,2,2.2,1.6,0.056,-2.4,-0.1,2020,,,,,,,,,,,,,,,,,,,,
82,R.J. Hampton,7.7,0.413,0.348,0.641,18.3,7.1,3.2,2,0.3,0.009,-3.5,-0.7,2020,,,,,,,,,,,,,,,,,,,,
83,Jaden McDaniels,8.8,0.448,0.333,0.714,24.9,7.9,3.9,1.1,3.4,0.053,-3.3,-1,2020,,,,,,,,,,,,,,,,,,,,
84,Killian Hayes,7.8,0.356,0.263,0.795,24.8,6.2,2.9,4.5,-1.2,-0.03,-5.3,-1.6,2020,,,,,,,,,,,,,,,,,,,,
85,Xavier Tillman,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Kira Lewis Jr.,6.2,0.391,0.298,0.841,16,6.2,1.4,2.2,0.7,0.029,-3.6,-0.5,2020,,,,,,,,,,,,,,,,,,,,
87,Deni Avdija,8.9,0.429,0.312,0.73,23.3,7,5,1.4,3.4,0.061,-2.2,-0.1,2020,,,,,,,,,,,,,,,,,,,,
88,Facundo Campazzo,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Jordan Nwora,5.3,0.421,0.388,0.771,15.3,7.1,2.9,0.7,1,0.04,-2.9,-0.3,2020,-,-,-,-,-,-,0.12,8.5,9.25,6'5.75'',6'7.00'',8'8.00'',223,6'10.25'',-,-,-,-,-,-
97,Saben Lee,8.1,0.437,0.299,0.712,15.6,5.3,2.1,3.1,1.9,0.079,-1.2,0.2,2020,,,,,,,,,,,,,,,,,,,,
98,Anthony Lamb,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Devin Vassell,6.8,0.423,0.346,0.826,21.4,8.4,3.5,1.3,3.9,0.075,-1,0.7,2020,,,,,,,,,,,,,,,,,,,,
100,Dylan Windler,7.1,0.433,0.356,0.778,12.5,3.7,2.5,0.8,1.2,0.069,-1.4,0.1,2019,10.7,2.94,3.3,29,37.5,8,0.05,8.25,9.5,6' 6.25'',6' 7.5'',8' 8.5'',195.8,6' 10'',10.7,2.94,3.3,29,37.5,8
101,Precious Achiuwa,6.4,0.473,0.324,0.538,17.3,6.4,5,0.8,2.9,0.071,-3.5,-0.8,2020,-,-,-,-,-,-,0.07,9,10,6'7.50'',6'8.75'',9'0.50'',234,7'0.75'',-,-,-,-,-,-
102,Aaron Nesmith,5.7,0.405,0.31,0.809,12.5,4.1,2.2,0.5,1.2,0.049,-4.2,-0.6,2020,,,,,,,,,,,,,,,,,,,,
103,Onyeka Okongwu,7.2,0.691,0,0.685,15.3,6.1,4,0.7,4.5,0.178,0,0.6,2020,,,,,,,,,,,,,,,,,,,,
104,Lamar Stevens,5.1,,,,,,,,,,,,,10.35,2.54,3.2,35,41,-,0.07,8.5,9.75,6'5.75'',6'6.75'',8'5.00'',228,6'9.00'',10.35,2.54,3.2,35,41,-
105,Nico Mannion,4.8,0.342,0.367,0.821,12.1,4.1,1.5,2.3,0.2,0.029,-3.9,-0.2,2020,,,,,,,,,,,,,,,,,,,,
106,Obi Toppin,5.1,0.504,0.262,0.737,12.9,5.5,2.8,0.7,3.5,0.109,-0.5,0.6,2020,,,,,,,,,,,,,,,,,,,,
107,Brodric Thomas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Nathan Knight,4.1,,,,,,,,,,,,,11.56,2.96,3.31,23,31.5,-,0.08,9,9.5,6'8.00'',6'9.75'',9'1.50'',235,7'2.00'',11.56,2.96,3.31,23,31.5,-
109,Skylar Mays,4.2,0.475,0.338,0.882,8.4,3.6,1.1,0.8,1.1,0.109,0.4,0.3,2020,10.65,2.4,3.3,29,37.5,-,0.07,8,9.75,6'3.00'',6'4.00'',8'3.00'',204,6'6.00'',10.65,2.4,3.3,29,37.5,-
110,Isaiah Joe,3,0.361,0.352,0.844,10.6,3.8,1,0.6,1.1,0.058,-3.7,-0.4,2020,-,-,-,-,-,-,0.05,8.25,8.25,6'3.00'',6'4.50'',8'5.00'',170.4,6'7.50'',-,-,-,-,-,-
111,Paul Reed,5.1,0.504,0.091,0.444,7.9,2.9,2.4,0.4,1.2,0.141,-1.3,0.1,2020,,,,,,,,,,,,,,,,,,,,
112,Zeke Nnaji,3.8,0.518,0.452,0.649,12.9,5,2.6,0.3,2.8,0.13,-1.7,0.1,2020,10.94,2.72,3.2,33,38,-,0.06,9,10.5,6'9.25'',6'10.50'',8'9.50'',246.8,7'2.00'',10.94,2.72,3.2,33,38,-
113,Anthony Gill,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Reggie Perry,4.3,0.42,0.217,0.8,9,3.1,2.8,0.6,0.2,0.046,-6.7,-0.3,2020,12.46,3.4,3.3,28.5,31.5,15,0.08,9.25,11,6'8.25'',6'9.25'',8'10.50'',249.6,7'0.25'',12.46,3.4,3.3,28.5,31.5,15
122,Sam Merrill,3.3,0.417,0.4,0.75,8.1,3.2,1,0.7,0.5,0.087,-2,0,2020,,,,,,,,,,,,,,,,,,,,
123,Trent Forrest,4.3,,,,,,,,,,,,,11.04,2.5,3.18,28,34.5,-,0.06,9,9.75,6'3.50'',6'4.75'',8'6.50'',203,6'7.50'',11.04,2.5,3.18,28,34.5,-
124,Markus Howard,1.7,,,,,,,,,,,,,11.21,3.17,3.11,30.5,35.5,-,0.1,8.5,7.75,5'9.50'',5'11.00'',7'7.50'',170.8,6'0.25'',11.21,3.17,3.11,30.5,35.5,-
125,Josh Green,3.8,0.49,0.262,0.655,13,3.6,2.1,1,2.4,0.1,-1.7,0.1,2020,10.64,2.28,3.12,30.5,39.5,-,0.07,8,8.75,6'4.50'',6'5.50'',8'5.50'',214,6'9.75'',10.64,2.28,3.12,30.5,39.5,-
126,Tre Jones,2.9,0.504,0.222,0.847,11.2,4,1.3,2,2.1,0.105,-1.8,0,2020,,,,,,,,,,,,,,,,,,,,
127,CJ Elleby,2.3,0.384,0.238,0.774,11.8,3.6,2.2,0.8,0.6,0.034,-4.4,-0.5,2020,11.25,2.63,3.25,30.5,36.5,-,0.04,8.75,10,6'5.50'',6'6.25'',8'4.50'',198.6,6'7.25'',11.25,2.63,3.25,30.5,36.5,-
128,Jalen Smith,2.3,0.482,0.31,0.785,11.5,5.2,3.8,0.3,2,0.127,-1.9,0,2020,-,-,-,-,-,-,0.04,9.25,9.25,6'9.25'',6'10.25'',9'2.00'',224.6,7'2.25'',-,-,-,-,-,-
129,Cassius Winston,1.8,0.436,0.455,0.875,4.6,1.9,0.3,0.6,0.2,0.085,-3.5,0,2020,11.15,2.74,3.61,24,28,-,0.09,8.75,8.25,6'0.50'',6'1.50'',8'1.00'',196,6'6.00'',11.15,2.74,3.61,24,28,-
130,Daniel Oturu,2.7,0.431,0.167,0.706,5.7,1.9,1.6,0.3,0.3,0.086,-5.2,-0.2,2020,,,,,,,,,,,,,,,,,,,,
131,Cassius Stanley,1.1,0.36,0.233,0.895,7.5,2.7,1.2,0.2,0,-0.007,-8,-0.4,2020,11.4,2.43,3.09,34.5,44,-,0.06,8.25,9,6'5.00'',6'6.25'',8'3.50'',201.6,6'7.00'',11.4,2.43,3.09,34.5,44,-
132,Ja Morant,18.5,0.475,0.326,0.753,32.2,21,4.5,7.1,13.2,0.11,1.8,5.5,2019,-,-,-,-,-,-,-%,-,-,,,,-,,-,-,-,-,-,-
133,Kendrick Nunn,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,RJ Barrett,11.4,0.422,0.365,0.686,33.1,16.9,5.5,2.8,5.3,0.043,-2.1,-0.1,2019,-,-,-,-,-,-,-%,-,-,,,,-,,-,-,-,-,-,-
135,Eric Paschall,13.7,0.495,0.326,0.755,20.3,10.2,3.4,1.4,4.5,0.074,-2.3,-0.2,2019,11.63,3.26,3.3,33,38,18,0.06,9,9.5,6' 6'',6' 7.25'',8' 7.5'',254.4,6' 11.75'',11.63,3.26,3.3,33,38,18
136,Rui Hachimura,14.7,0.471,0.348,0.795,28.8,12.9,5.3,1.5,4.5,0.059,-3,-0.9,2019,,,,,,,,,,,,,,,,,,,,
137,Tyler Herro,12.2,0.435,0.377,0.847,30.1,16.3,4.6,3.2,5.8,0.058,-1,1.3,2019,-,-,-,-,-,-,0.07,8,8.75,6' 4.5'',6' 6'',8' 4.5'',192.4,6' 3.25'',-,-,-,-,-,-
138,Coby White,10.8,0.416,0.368,0.848,28.5,14.1,3.6,3.6,5.8,0.055,-2.3,-0.3,2019,-,-,-,-,-,-,0.04,7.75,9,6' 3.5'',6' 4.75'',8' 1.5'',191.4,6' 5'',-,-,-,-,-,-
139,De'Andre Hunter,11.1,0.431,0.354,0.777,30.8,12.9,4.2,1.7,2.2,0.029,-3.5,-1.4,2019,-,-,-,-,-,-,-%,-,-,,,,-,,-,-,-,-,-,-
140,Darius Garland,9.1,0.446,0.377,0.872,32.8,16.5,2.5,5.8,4.1,0.037,-1.9,0.2,2019,-,-,-,-,-,-,-%,-,-,,,,-,,-,-,-,-,-,-
141,P.J. Washington,13.5,0.449,0.379,0.702,29.1,11.9,5.9,2.2,7.1,0.069,-0.9,1.3,2019,-,-,-,-,-,-,0.09,9,10.25,6' 6.5'',6' 8'',8' 10.5'',230.4,7' 2.25'',-,-,-,-,-,-
142,Brandon Clarke,16.2,0.587,0.294,0.702,22,10.9,5.6,1.5,13.9,0.183,2.8,4.4,2019,10.61,3.05,3.15,34,40.5,10,0.05,8.25,9.5,6' 7.25'',6' 8.25'',8' 6'',207.2,6' 8.25'',10.61,3.05,3.15,34,40.5,10
143,Cam Reddish,9.3,0.385,0.325,0.84,25.1,10.6,3.2,1.3,0.9,0.013,-3.2,-1,2019,,,,,,,,,,,,,,,,,,,,
144,Kevin Porter Jr.,9.5,0.419,0.345,0.673,27.6,12.7,3.6,4.5,0,0,-3.4,-1.2,2019,10.82,3.03,3.14,27,34,2,0.05,8.75,8.75,6' 4'',6' 5.5'',8' 7'',212.6,6' 9'',10.82,3.03,3.14,27,34,2
145,Michael Porter Jr.,11.3,0.518,0.419,0.795,24.6,14.1,6.1,1.1,9.6,0.15,2.1,3.1,2018,,,,,,,,,,,,,,,,,,,,
146,Jarrett Culver,8.2,0.407,0.29,0.505,18.2,7,2.9,1.3,0.1,0.003,-4.2,-1.3,2019,-,-,-,-,-,-,0.05,8.25,8.5,6' 5.25'',6' 6.75'',8' 4.5'',194.2,6' 9.5'',-,-,-,-,-,-
147,Naz Reid,9.6,,,,,,,,,,,,,12.03,3.76,3.42,26,32.5,3,0.14,9.5,9.25,6' 8.75'',6' 9.5'',9' 1'',255.8,7' 3.25'',12.03,3.76,3.42,26,32.5,3
148,Cameron Johnson,9.5,0.443,0.393,0.848,24.1,10.3,3.6,1.4,10.8,0.122,1.2,3.4,2019,10.52,3.28,3.26,30.5,36.5,-,0.06,8,8.5,6' 7'',6' 8.5'',8' 7'',205.2,6' 10'',10.52,3.28,3.26,30.5,36.5,-
149,Jordan Poole,6.4,0.405,0.324,0.877,23.6,12.3,2.4,2.6,4.4,0.054,-2.5,-0.5,2019,10.59,3.14,3.27,28,35.5,-,0.08,8.25,8.5,6' 3.5'',6' 5.5'',8' 3.5'',190.8,6' 6.75'',10.59,3.14,3.27,28,35.5,-
150,Jordan McLaughlin,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Terence Davis,8.7,,,,,,,,,,,,,10.69,2.96,3.28,29.5,34,13,0.04,9.25,10.75,6' 3'',6' 4.5'',8' 5'',192.4,6' 8.75'',10.69,2.96,3.28,29.5,34,13
152,Ky Bowman,8.4,,,,,,,,,,,,,11.11,3.11,3.26,27.5,33,4,0.05,8.25,9,6' 1'',6' 2.25'',8' 2'',181.2,6' 7'',11.11,3.11,3.26,27.5,33,4
153,Jaxson Hayes,10.4,0.65,0.333,0.719,16.8,7.8,4.2,0.7,11,0.18,0.3,1.7,2019,11.74,3.23,3.37,27,34.5,5,0.05,9.25,10.5,6' 10.25'',6' 11.5'',9' 2.5'',218.6,7' 3.5'',11.74,3.23,3.37,27,34.5,5
