Column1,PLAYER,EFF,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,LANE_AGILITY_TIME_x,SHUTTLE_RUN_x,THREE_QUARTER_SPRINT_x,STANDING_VERTICAL_LEAP_x,MAX_VERTICAL_LEAP_x,MAX_BENCH_PRESS_x,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES_IN_CM,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,LANE_AGILITY_TIME_y,SHUTTLE_RUN_y,THREE_QUARTER_SPRINT_y,STANDING_VERTICAL_LEAP_y,MAX_VERTICAL_LEAP_y,MAX_BENCH_PRESS_y
154,Luguentz Dort,6.2,405,0.307,0.7,31.5,16.1,4.3,2.3,,,,,2019,10.79,3.13,3.22,32.5,38,14,0.05,8.5,9,186.99,190.8,248.89,222.2,201.59,10.79,3.13,3.22,32.5,38,14
160,Darius Bazley,7.2,0.397,0.304,0.698,25.5,9.6,5.9,1.3,1.5,0.017,-2.7,-0.8,2019,11.09,2.95,3.27,30.5,37,4,0.04,9,9.75,199.69,202.86,267.94,208.4,210,11.09,2.95,3.27,30.5,37,4
161,Daniel Gafford,7.4,0.689,,0.655,16.6,7.2,4.3,0.7,9.8,0.191,1.2,2,2019,11.61,3.19,3.25,32.5,36.5,5,0.06,9.25,9.25,203.5,206.67,275.08,237.6,215.715,11.61,3.19,3.25,32.5,36.5,5
162,Cody Martin,7.4,0.448,0.33,0.646,20.8,5.7,3.5,2.1,4.9,0.073,-1.4,0.5,2019,10.64,3.05,3.09,29,36.5,4,0.05,8.25,9,192.07,193.97,256.51,192.2,206.035,10.64,3.05,3.09,29,36.5,4
173,Bruno Fernando,6.5,0.498,0.146,0.617,9.1,2.9,2.7,0.6,0.8,0.04,-4.7,-0.7,2019,12.19,3.03,3.23,29,35,11,0.05,9.25,10,202.23,206.04,275.08,237,218.255,12.19,3.03,3.23,29,35,11
182,Nassir Little,4.4,0.455,0.317,0.727,16.7,5.8,3.4,0.7,3.7,0.076,-2.2,-0.1,2019,12.15,3.1,3.24,31,38.5,5,0.06,8.75,10,191.43,195.24,261.59,224.2,213.175,12.15,3.1,3.24,31,38.5,5
183,Grant Williams,5.2,0.454,0.381,0.756,18.8,5.2,2.9,1,7,0.093,-1.8,0.2,2019,10.83,3.27,3.33,26,31.5,20,0.05,9,10.5,194.61,199.05,261.59,240.2,204.765,10.83,3.27,3.33,26,31.5,20
185,Ty Jerome,3.6,0.398,0.344,0.784,17.1,7.1,1.9,2.4,2,0.051,-1.9,0.1,2019,11.21,3.12,3.4,26,31.5,2,0.07,8.25,9.5,190.8,193.97,245.08,194.4,190.16,11.21,3.12,3.4,26,31.5,2
186,Carsen Edwards,2.7,0.372,0.302,0.75,9.2,3.6,1.1,0.6,0.4,0.03,-4.5,-0.4,2019,11.59,3.15,3.2,28.5,34.5,12,0.06,8.75,9,177.31,180.64,236.67,199.4,195.24,11.59,3.15,3.2,28.5,34.5,12
196,Admiral Schofield,3.2,0.414,0.32,0.682,10.8,3,1.6,0.5,0.3,0.025,-5.3,-0.5,2019,10.77,2.87,3.37,30,34,15,0.07,8.75,9,190.16,193.34,256.51,240.6,204.765,10.77,2.87,3.37,30,34,15
199,Terance Mann,3.8,0.493,0.384,0.775,20.2,7.3,3.7,1.8,8.9,0.123,-0.6,1.3,2019,11.51,3.14,3.3,32.5,38.5,6,0.04,9.5,9.25,192.07,196.51,252.7,204.6,199.685,11.51,3.14,3.3,32.5,38.5,6
208,Allonzo Trier,9.5,0.5,0.38,0.865,34.1,18.1,3,3.2,,,,,2018,11.02,2.97,3.14,32,40,11,0.05,8.25,10.5,189.53,193.34,245.08,198,197.145,11.02,2.97,3.14,32,40,11
211,Kevin Huerter,10.3,0.43,0.375,0.785,29.6,11.3,3.5,3.2,8.5,0.054,-1.4,1.2,2018,10.89,2.97,3.09,31,38,9,0.09,8.25,8.5,195.88,198.42,253.97,194,199.05,10.89,2.97,3.09,31,38,9
212,Jalen Brunson,9.5,0.494,0.376,0.786,24.2,11.5,2.9,3.8,15.8,0.12,0,3.3,2018,10.59,3.11,3.15,29,37,7,0.07,8.25,9.25,182.54,185.72,240,198.4,190.16,10.59,3.11,3.15,29,37,7
213,Landry Shamet,8.1,0.407,0.388,0.84,23.2,8.9,1.8,1.6,9.7,0.083,-1.9,0.1,2018,11.26,3.21,3.11,31,39.5,8,0.05,8,9,190.16,193.34,250.16,188.6,197.145,11.26,3.21,3.11,31,39.5,8
216,Frank Jackson,6.6,0.425,0.338,0.774,18.1,8.5,1.8,1,2.3,0.03,-3.9,-1.8,2017,10.94,2.7,3.14,34.5,42,9,0.07,8.25,9,185.08,188.89,245.08,201.6,199.05,10.94,2.7,3.14,34.5,42,9
217,Josh Okogie,7.9,0.4,0.273,0.756,21.5,6.6,3.1,1.2,4.9,0.048,-3,-1.2,2018,11.08,3.03,3.04,33,42,12,0.05,9,9.75,187.62,191.43,255.24,210.8,210,11.08,3.03,3.04,33,42,12
222,Kenrich Williams,9.4,0.477,0.395,0.688,36,13.2,9.3,3.9,,,,,2018,10.86,3.28,3.19,28,33,14,0.06,8.5,9.75,195.24,199.05,259.05,200.4,198.415,10.86,3.28,3.19,28,33,14
223,Omari Spellman,8.1,0.417,0.366,0.766,17.8,6.8,4.3,1,2.4,0.068,-1.5,0.2,2018,12.28,3.35,3.38,28.5,35.5,8,0.14,9,9,200.32,203.5,269.21,253.8,215.08,12.28,3.35,3.38,28.5,35.5,8
228,Keita Bates-Diop,5.9,0.456,0.315,0.698,15,5.1,3,0.6,3.3,0.068,-2.2,-0.1,2018,11.2,3.28,3.17,30.5,35,11,0.05,9,8.5,198.42,201.59,266.67,223.8,218.255,11.2,3.28,3.17,30.5,35,11
241,Jevon Carter,4.5,0.373,0.37,0.8,13.8,4.3,1.7,1.3,3.3,0.057,-1.4,0.4,2018,11.04,3.05,3.18,29,36.5,14,0.04,9.25,8.5,180.64,183.81,237.94,196.2,190.795,11.04,3.05,3.18,29,36.5,14
242,Bruce Brown,5.7,0.474,0.314,0.741,22.8,7.2,4.2,2,10.6,0.088,-1.4,0.9,2018,11.11,3.44,3.2,32.5,38,17,0.04,8.5,8.5,188.89,192.7,246.35,194.6,202.86,11.11,3.44,3.2,32.5,38,17
245,Hamidou Diallo,3.9,0.474,0.278,0.635,19,8.5,3.9,1.1,4.8,0.059,-2.4,-0.4,2018,10.88,2.79,3.11,34.5,44.5,0,0.04,8.75,9,190.8,195.24,257.78,197,209.21,10.88,2.79,3.11,34.5,44.5,0
255,Svi Mykhailiuk,2.3,0.4,0.354,0.782,17.5,6.8,1.9,1.4,2.6,0.034,-2.6,-0.6,2018,12.4,3.25,3.53,27,33,8,0.11,8,9.25,196.51,199.05,250.16,219.6,192.7,12.4,3.25,3.53,27,33,8
259,Chimezie Metu,1.7,0.454,0.286,0.755,13.2,5.6,3.4,0.8,1.6,0.046,-2.5,-0.2,2018,11.89,3.25,3.33,29.5,36,5,0.05,9,9.25,201.59,204.13,270,219.6,211.27,11.89,3.25,3.33,29.5,36,5
260,Jacob Evans,1.6,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8,2018,11.11,3.14,3.2,28,35.5,8,0.07,9,9.25,190.8,193.97,256.51,199.6,203.495,11.11,3.14,3.2,28,35.5,8
261,Donovan Mitchell,16.6,0.442,0.362,0.833,33.7,23.8,4.1,4.4,27.7,0.121,2.4,12.4,2017,11.53,3.07,3.01,36.5,40.5,10,0.06,8.5,9.5,183.18,187.62,242.54,211.4,205.4,11.53,3.07,3.01,36.5,40.5,10
262,Kyle Kuzma,15.3,0.449,0.34,0.725,30.4,15.6,6.2,2.1,14.8,0.07,-0.9,2.7,2017,10.72,2.98,3.25,27,34,12,0.09,8.5,9.5,200.32,204.13,269.21,222.6,210.635,10.72,2.98,3.25,27,34,12
270,Dillon Brooks,9.5,0.42,0.351,0.8,28.3,14.4,3,2,4.8,0.031,-3.8,-3.4,2017,11.14,3.24,3.21,31,37.5,16,0.08,8.25,9.25,192.7,195.24,251.43,220.2,195.24,11.14,3.24,3.21,31,37.5,16
271,John Collins,15.6,0.562,0.382,0.78,29,16.6,8.4,1.6,28.3,0.162,1.5,7.5,2017,11.66,3.27,3.27,33,37.5,15,0.05,9,10,200.96,204.13,266.67,225.2,208.575,11.66,3.27,3.27,33,37.5,15
275,Jarrett Allen,12,0.625,0.189,0.699,26.6,11.6,8.7,1.4,35.2,0.187,1.7,8.5,2017,11.82,3,3.21,31.5,35.5,4,0.07,9.5,10.5,202.86,206.04,273.81,233.6,223.335,11.82,3,3.21,31.5,35.5,4
276,Frank Mason III,7.9,0.396,0.301,0.755,15.7,6.7,2,2.6,1.2,0.035,-2.6,-0.3,2017,11.41,3.09,3.18,34,41,15,0.04,8,9.25,177.94,180,235.4,188.8,188.255,11.41,3.09,3.18,34,41,15
286,Tyler Dorsey,6.1,0.389,0.35,0.669,16.1,6.7,2.3,1.3,1,0.03,-3.1,-0.5,2017,10.55,2.98,3.16,30.5,36,8,0.05,8.5,9.25,187.62,191.43,248.89,182.6,193.335,10.55,2.98,3.16,30.5,36,8
305,Kobi Simmons,5.8,0.395,0.327,0.775,23.5,8.7,1.6,2,,,,,2017,11.15,2.98,3.18,30.5,38.5,3,0.05,8.5,9.5,188.26,191.43,247.62,166.2,195.24,11.15,2.98,3.18,30.5,38.5,3
308,Ivan Rabb,8.6,0.555,0.2,0.743,14.6,5.7,4.3,1,3.2,0.125,-1.7,0.1,2017,12.68,3.23,3.35,28.5,32.5,3,0.07,8.75,9,202.23,205.4,272.54,219.6,213.81,12.68,3.23,3.35,28.5,32.5,3
314,Jawun Evans,5,0.345,0.263,0.776,15.1,4.2,1.7,2,-0.4,-0.022,-5.4,-0.7,2017,11.34,3.26,3.21,27.5,33.5,1,0.09,8,7.75,177.31,179.21,237.94,185.2,193.97,11.34,3.26,3.21,27.5,33.5,1
316,Jordan Bell,9.3,0.552,0.2,0.636,12,3.7,3.1,1.2,4.9,0.121,0.2,1.1,2017,10.63,2.83,3.21,31.5,38,16,0.05,9.25,9.5,197.78,201.59,261.59,223.6,209.845,10.63,2.83,3.21,31.5,38,16
320,Damyean Dotson,4.5,0.417,0.345,0.711,19.9,7.5,2.5,1.5,3,0.034,-2.8,-0.9,2017,11.18,3.03,3.13,31.5,38,13,0.05,8.5,9.25,191.43,193.97,250.16,205.2,202.86,11.18,3.03,3.13,31.5,38,13
323,Sindarius Thornwell,4.8,0.407,0.34,0.672,10.8,2.5,1.3,0.7,1.1,0.032,-3.1,-0.5,2017,11.48,3.03,3.36,27,30.5,15,0.08,8.75,8.75,188.89,192.07,257.78,211.6,205.4,11.48,3.03,3.36,27,30.5,15
327,Dwayne Bacon,3.9,0.402,0.314,0.78,19.4,7.3,2.6,1.1,0.8,0.01,-5.1,-3.1,2017,11.7,3.22,3.22,30,36.5,8,0.08,8.75,10,192.07,195.88,259.05,221.6,205.4,11.7,3.22,3.22,30,36.5,8
332,Semi Ojeleye,3.2,0.383,0.344,0.706,14.5,3.4,2.2,0.4,5,0.059,-3.5,-1.5,2017,10.58,3.07,3.16,35,40.5,19,0.06,8.75,9.5,193.34,197.15,255.24,241.4,204.765,10.58,3.07,3.16,35,40.5,19
334,Brandon Paul,2.5,0.401,0.325,0.738,32,16.6,4.4,2.7,,,,,2013,11.16,2.9,3.37,33.5,39.5,15,0.05,8.5,9.5,186.99,190.16,245.08,201,206.035,11.16,2.9,3.37,33.5,39.5,15
343,Dakari Johnson,2.6,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1,2015,11.76,2.94,3.62,22.5,25,4,0.15,9.25,10.5,207.94,209.85,280.16,264.6,215.08,11.76,2.94,3.62,22.5,25,4
370,Chasson Randle,5.2,403,0.363,0.877,36.4,19.6,3.3,3,,,,,2015,10.63,2.81,3.2,33.5,39.5,6,0.05,8.5,9.5,180.64,183.81,241.27,178.8,197.78,10.63,2.81,3.2,33.5,39.5,6
399,Devin Booker,10.5,0.454,0.354,0.87,33.7,23.3,3.9,4.6,27.6,0.085,0.3,9,2015,10.27,2.75,3.28,27.5,34.5,8,0.08,8.75,9,191.43,194.61,256.51,205.8,200.955,10.27,2.75,3.28,27.5,34.5,8
406,Bobby Portis,8.9,0.471,0.388,0.75,21.5,11.1,6.5,1.2,20.3,0.104,-0.6,3.4,2015,11.78,3.28,3.56,25,31.5,5,0.09,9.5,9.25,204.13,206.67,271.27,246.2,215.08,11.78,3.28,3.56,25,31.5,5
415,Rondae Hollis-Jefferson,10.4,0.449,0.212,0.735,22.2,9,5.5,1.9,12.9,0.091,-0.7,2.3,2015,10.41,3.19,3.12,32,38,13,0.05,8.75,9.75,193.97,197.78,260.32,210.8,215.08,10.41,3.19,3.12,32,38,13
416,Jarell Martin,6.3,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7,2015,11.2,2.97,3.27,28.5,35,19,0.1,8.25,9.5,200.32,203.5,266.67,238.6,202.86,11.2,2.97,3.27,28.5,35,19
417,Richaun Holmes,6.9,0.606,0.256,0.745,21.1,9.6,5.8,1.1,26.6,0.162,0.5,4.9,2015,11.24,3.31,3.32,32.5,36,15,0.09,8.5,8.5,200.96,204.13,270,242.8,213.81,11.24,3.31,3.32,32.5,36,15
419,Norman Powell,6,0.462,0.382,0.831,22.4,11.3,2.6,1.5,19.6,0.1,-0.2,4.3,2015,10.69,3.2,3.2,32.5,40.5,5,0.06,9.25,9,187.62,190.8,256.51,215.4,207.305,10.69,3.2,3.2,32.5,40.5,5
423,Cameron Payne,5.4,0.421,0.365,0.835,17.4,7.4,2.1,3,7.1,0.075,-0.6,1.6,2015,10.9,2.93,3.28,29.8,35.5,0,0.06,8.5,8.25,181.91,183.81,243.81,182.8,198.415,10.9,2.93,3.28,29.8,35.5,0
427,Tyus Jones,5.4,0.435,0.342,0.825,18.2,6,1.7,3.6,17.8,0.107,0.3,4.6,2015,11.84,2.95,3.32,26.5,32.5,2,0.07,8.25,8.75,181.27,185.08,242.54,184.6,192.7,11.84,2.95,3.32,26.5,32.5,2
429,Anthony Brown,4.1,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6,2015,10.94,3.29,3.18,27.5,34.5,4,0.06,8.5,9,194.61,198.42,261.59,211,207.94,10.94,3.29,3.18,27.5,34.5,4
430,Delon Wright,4.2,0.452,0.353,0.796,20.8,7.3,3.2,3.1,21.4,0.126,2,8.3,2015,11.16,3.5,3.29,29.5,31,4,0.07,8,8.5,190.8,193.97,253.97,181.4,199.05,11.16,3.5,3.29,29.5,31,4
431,Justin Anderson,5,0.412,0.293,0.776,13.1,5.2,2.5,0.7,4.7,0.074,-1.4,0.4,2015,11.13,2.88,3.22,38,43,12,0.05,8.5,9.5,193.34,195.88,252.7,230.6,209.845,11.13,2.88,3.22,38,43,12
437,Rashad Vaughn,2.5,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2,2015,11.4,3.1,3.21,28,34,5,0.06,8,8.5,189.53,192.7,252.7,198.6,197.78,11.4,3.1,3.21,28,34,5
442,Terry Rozier,2.1,0.414,0.374,0.816,25.8,12.4,3.9,3.1,22.4,0.091,0.5,7.6,2015,10.84,2.84,3.15,33,38,7,0.06,8.25,8.5,181.27,185.72,246.35,190.2,200.955,10.84,2.84,3.15,33,38,7
443,Pat Connaughton,1,0.447,0.366,0.791,18.4,5.8,3.3,1.2,17.6,0.113,0,3.7,2015,10.58,3.08,3.2,37.5,44,13,0.1,8.5,9.25,190.16,193.34,240,215,200.32,10.58,3.08,3.2,37.5,44,13
444,Sasha Kaun,1.6,0.529,,0.455,3.8,0.9,1,0.1,0.2,0.096,-2.8,0,2008,12.06,,3.2,29,32,13,0.1,-,-,202.86,207.31,275.08,247,220.16,12.06,,3.2,29,32,13
504,Erick Green,2.6,0.377,0.288,0.857,8.7,3.1,0.7,0.8,0.1,0.011,-4,-0.2,2012,-,,,,,5,0.04,8.5,9,183.81,187.62,245.08,178.2,194.605,,,,,,5
520,JaMychal Green,3.5,0.546,0.2,0.69,29.2,14,7.4,1.8,,,,,2012,10.63,,3.38,29.5,32.5,19,0.1,9.25,9.25,200.32,202.86,266.67,217.4,215.715,10.63,,3.38,29.5,32.5,19
526,Michael Carter-Williams,17.6,0.402,0.255,0.706,25.3,10.3,4.4,4.4,6.6,0.032,-1.2,1.9,2012,10.68,3.7,3.22,31.5,41,8,0.04,7.5,8.5,192.07,194.61,252.7,184.4,198.415,10.68,3.7,3.22,31.5,41,8
527,Victor Oladipo,13.2,0.438,0.347,0.791,33,17.5,4.6,4,24.6,0.079,0.9,10.8,2012,10.69,3.14,3.25,33,42,15,0.07,8.75,9.25,188.26,190.8,251.43,213.2,203.495,10.69,3.14,3.25,33,42,15
528,Trey Burke,12.1,0.412,0.345,0.812,21.1,9.8,1.8,3.1,13.2,0.062,-1.2,1.9,2012,11.2,3.01,3.16,29.5,36.5,3,0.07,8.25,8.75,179.85,183.18,243.81,187,193.97,11.2,3.01,3.16,29.5,36.5,3
529,Tim Hardaway Jr.,7.4,0.422,0.358,0.812,27,13.9,2.8,1.9,26,0.079,-0.8,4.9,2012,10.68,2.93,3.25,31.5,37.5,16,0.06,8,9.25,191.43,195.88,252.7,199.4,197.78,10.68,2.93,3.25,31.5,37.5,16
530,Ben McLemore,6.7,0.414,0.363,0.776,22.5,8.9,2.3,1,8.8,0.035,-3.1,-3.2,2012,11.87,3.11,3.27,32.5,42,6,0.05,8.75,9.5,188.89,192.07,251.43,189.2,199.685,11.87,3.11,3.27,32.5,42,6
531,Kelly Olynyk,10.7,0.475,0.365,0.779,22.1,10.1,5.1,2,34.3,0.125,0.9,9.4,2012,11.42,2.99,3.59,24.5,29.5,5,0.07,8.5,10,207.31,210,270,234,204.765,11.42,2.99,3.59,24.5,29.5,5
533,Mason Plumlee,10.6,0.582,0.049,0.558,22.3,8.4,6.6,2.4,43.1,0.144,1.3,11.9,2012,10.89,2.76,3.29,30.5,36,14,0.06,9.75,9.5,208.58,211.27,270,238.2,207.94,10.89,2.76,3.29,30.5,36,14
534,Nate Wolters,8.6,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.028,-2.6,-0.2,2012,-,,,,,8,0.06,8.25,8.75,188.89,192.07,245.08,196.4,189.525,,,,,,8
537,Ray McCallum,6.1,0.408,0.335,0.711,18.2,6,2,2.4,2.1,0.035,-2.6,-0.4,2012,10.82,3.08,3.25,30.5,40,5,0.07,8,8.75,180.64,184.45,241.27,191.4,188.255,10.82,3.08,3.25,30.5,40,5
538,Hollis Thompson,7.3,0.464,0.43,0.679,31.1,12.8,5.5,1.5,,,,,2012,11.72,,3.38,28.5,36.5,6,0.06,8.25,9.75,197.15,200.32,256.51,206,204.13,11.72,-,3.38,28.5,36.5,6
539,Cody Zeller,7.8,0.52,0.221,0.731,22.2,8.5,6,1.4,32.2,0.141,-0.5,4.1,2012,10.82,2.69,3.15,35.5,37.5,17,0.05,8.5,10.5,207.31,210.64,265.4,230,207.305,10.82,2.69,3.15,35.5,37.5,17
540,Kentavious Caldwell-Pope,5.6,0.418,0.358,0.811,29.2,11.4,3.1,1.7,33.5,0.083,-0.8,5.8,2012,10.6,3.2,3.12,29,34.5,7,0.06,8.5,9,191.43,193.97,251.43,203.6,200.32,10.6,3.2,3.12,29,34.5,7
541,CJ McCollum,3.7,0.454,0.397,0.819,31.5,19.1,3.4,3.4,39.3,0.105,1.3,15,2012,11.02,2.91,3.32,32,38.5,13,0.09,8,9.5,185.72,188.26,241.27,197,195.875,11.02,2.91,3.32,32,38.5,13
545,Tony Snell,4.2,0.431,0.394,0.845,21.9,6.1,2.3,1.1,18.5,0.069,-2,0.1,2012,11.36,2.84,3.25,30,36.5,7,0.05,9,9.5,195.24,198.42,264.13,198.2,209.21,11.36,2.84,3.25,30,36.5,7
548,Shabazz Muhammad,3.1,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-2,0,2012,10.99,2.93,3.32,29.5,37,10,0.09,9,10,192.07,195.88,261.59,221.8,207.94,10.99,2.93,3.32,29.5,37,10
551,Archie Goodwin,3.4,0.429,0.236,0.7,14.5,6.3,2,1.2,1.1,0.022,-3,-0.6,2012,10.75,3.41,3.27,30,36,1,0.05,8.5,9,189.53,193.34,255.24,189,204.13,10.75,3.41,3.27,30,36,1
552,Robbie Hummel,4.4,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-3.1,-0.4,2011,11.56,,3.41,27.5,30,13,0.09,8.5,9.5,198.42,201.59,255.24,218,201.59,11.56,,3.41,27.5,30,13
553,Jeff Withey,5.7,0.525,0.143,0.716,10.1,3.2,2.5,0.3,6.8,0.157,0.5,1.3,2012,12.49,3.29,3.47,26.5,29,10,0.09,9,9.75,207.31,211.27,276.35,221.8,215.08,12.49,3.29,3.47,26.5,29,10
554,Steven Adams,6.4,0.587,0.077,0.548,26.8,9.3,7.9,1.4,54.2,0.15,0.4,10.8,2012,11.85,3.02,3.4,28.5,33,16,0.07,9.5,11,207.31,210,273.81,254.5,221.43,11.85,3.02,3.4,28.5,33,16
555,Dewayne Dedmon,5.9,0.5,0,0.681,22.3,6.7,7,0.6,,,,,2013,12.75,3.26,3.4,28,32.5,8,0.08,9,11,205.4,209.21,272.54,238.8,220.16,12.75,3.26,3.4,28,32.5,8
556,Phil Pressey,4.7,0.376,0.324,0.735,33.9,11.9,3.3,7.1,,,,,2013,10.86,3.02,3.13,33,38.5,7,0.05,7.75,9.75,174.13,179.21,230.32,177,185.715,10.86,3.02,3.13,33,38.5,7
557,Brandon Davies,3.6,0.522,0.357,0.682,29.3,17.7,8,2.4,,,,,2013,11.22,3.14,3.5,26,31.5,7,0.09,9,11,201.59,206.04,271.27,241.8,213.81,11.22,3.14,3.5,26,31.5,7
559,Reggie Bullock,2.3,0.429,0.387,0.845,22.1,7.7,2.5,1.2,17.4,0.09,-0.7,3,2012,11.33,3.3,3.31,31,36.5,11,0.07,8.5,9,194.61,197.78,255.24,199.8,202.225,11.33,3.3,3.31,31,36.5,11
562,Rudy Gobert,4.7,0.651,0,0.636,29.9,12.3,11.6,1.3,83.5,0.226,4,27,2012,12.85,3.19,3.57,25,29,7,0.04,9.75,10,211.27,215.08,287.78,237.6,231.59,12.85,3.19,3.57,25,29,7
563,Dionte Christmas,2.3,0.414,0.352,0.753,,19.5,5.8,2.9,,,,,2009,10.83,,3.21,27,33.5,3,0.07,-,-,190.8,193.97,256.51,210.8,202.86,10.83,,3.21,27,33.5,3
564,Peyton Siva,2.1,0.316,0.28,0.733,9.3,2.3,0.6,1.4,-0.2,-0.032,-6.4,-0.2,2012,10.59,2.93,3.16,33.5,41.5,15,0.06,8,9.75,179.21,182.54,232.86,180.6,187.62,10.59,2.93,3.16,33.5,41.5,15
567,Andre Roberson,3.9,0.473,0.253,0.468,22.2,4.5,4,0.9,12.6,0.089,-0.6,2.3,2012,11.36,3.02,3.34,30,36.5,10,0.07,8.75,9.5,195.88,197.78,261.59,205.8,207.94,11.36,3.02,3.34,30,36.5,10
568,Solomon Hill,2.5,0.388,0.331,0.797,21.5,5.5,3.1,1.5,11.9,0.059,-2.1,-0.3,2012,10.77,2.91,3.19,29.5,37.5,14,0.08,9,10.5,193.97,197.78,257.78,226,202.86,10.77,2.91,3.19,29.5,37.5,14
570,Damian Lillard,17.3,0.437,0.373,0.893,36.3,24.6,4.2,6.6,94.4,0.175,4.7,43.8,2011,11.15,,3.34,34.5,39.5,13,0.06,8.75,9.75,184.45,186.99,239.21,188.8,199.685,11.15,,3.34,34.5,39.5,13
572,Bradley Beal,12.1,0.456,0.372,0.821,34.8,22.1,4.1,4.2,49.2,0.105,1.7,21,2011,10.95,,3.28,33,39,8,0.06,8.5,9,188.26,192.07,250.16,201.8,200.32,10.95,,3.28,33,39,8
